dep,arr,dist,freq,pasN,pasV,crgN,cv_id,dep_lat,dep_lon,arr_lat,arr_lon,year
青森,新千歳,307.0,14.0,43639.0,91550.0,32.0,cv_00797,40.734207,140.68896,42.783703,141.68295,2011
新千歳,花巻,467.0,19.0,43181.0,66527.0,4.0,cv_00798,42.783703,141.68295,39.428875,141.13478,2011
花巻,新千歳,467.0,19.0,43291.0,66199.0,4.0,cv_00799,39.428875,141.13478,42.783703,141.68295,2011
新千歳,秋田,443.0,20.0,40999.0,77470.0,2.0,cv_00800,42.783703,141.68295,39.614624,140.21924,2011
秋田,新千歳,443.0,20.0,41063.0,77394.0,5.0,cv_00801,39.614624,140.21924,42.783703,141.68295,2011
新千歳,山形,620.0,5.0,7252.0,14900.0,0.0,cv_00802,42.783703,141.68295,38.41174,140.36989,2011
山形,新千歳,620.0,5.0,7440.0,15150.0,0.0,cv_00803,38.41174,140.36989,42.783703,141.68295,2011
新千歳,松本,889.0,5.0,15469.0,22556.0,0.0,cv_00804,42.783703,141.68295,36.166203,137.92468,2011
松本,新千歳,889.0,5.0,15504.0,22562.0,0.0,cv_00805,36.166203,137.92468,42.783703,141.68295,2011
新千歳,出雲,1295.0,0.0,2427.0,4050.0,0.0,cv_00806,42.783703,141.68295,35.41347,132.8881,2011
出雲,新千歳,1295.0,0.0,2344.0,3900.0,0.0,cv_00807,35.41347,132.8881,42.783703,141.68295,2011
新千歳,徳島,1366.0,0.0,3084.0,5250.0,0.0,cv_00808,42.783703,141.68295,34.13451,134.59927,2011
徳島,新千歳,1366.0,0.0,3372.0,5400.0,0.0,cv_00809,34.13451,134.59927,42.783703,141.68295,2011
丘珠,稚内,327.0,3.0,4162.0,9240.0,0.0,cv_00810,43.116447,141.38142,45.403435,141.79831,2011
稚内,丘珠,327.0,3.0,3185.0,9239.0,0.0,cv_00811,45.403435,141.79831,43.116447,141.38142,2011
丘珠,釧路,282.0,20.0,23040.0,46680.0,6.0,cv_00812,43.116447,141.38142,43.042946,144.19371,2011
釧路,丘珠,282.0,20.0,22184.0,46780.0,0.0,cv_00813,43.042946,144.19371,43.116447,141.38142,2011
丘珠,函館,257.0,35.0,45671.0,80832.0,12.0,cv_00814,43.116447,141.38142,41.77024,140.82375,2011
函館,丘珠,257.0,35.0,45418.0,80684.0,2.0,cv_00815,41.77024,140.82375,43.116447,141.38142,2011
丘珠,中標津,385.0,10.0,18538.0,29512.0,0.0,cv_00816,43.116447,141.38142,43.57671,144.95811,2011
中標津,丘珠,385.0,10.0,18690.0,29512.0,0.0,cv_00817,43.57671,144.95811,43.116447,141.38142,2011
丘珠,女満別,333.0,6.0,9414.0,19802.0,0.0,cv_00818,43.116447,141.38142,43.87951,144.16162,2011
女満別,丘珠,333.0,6.0,9750.0,19812.0,0.0,cv_00819,43.87951,144.16162,43.116447,141.38142,2011
函館,釧路,407.0,6.0,5191.0,12672.0,0.0,cv_00820,41.77024,140.82375,43.042946,144.19371,2011
釧路,函館,407.0,6.0,5360.0,12636.0,0.0,cv_00821,43.042946,144.19371,41.77024,140.82375,2011
函館,旭川,282.0,6.0,5150.0,12924.0,0.0,cv_00822,41.77024,140.82375,43.6687,142.4513,2011
旭川,函館,282.0,6.0,5268.0,12852.0,1.0,cv_00823,43.6687,142.4513,41.77024,140.82375,2011
函館,奥尻,176.0,6.0,4890.0,12456.0,2.0,cv_00824,41.77024,140.82375,42.068184,139.43912,2011
奥尻,函館,176.0,6.0,4834.0,12420.0,8.0,cv_00825,42.068184,139.43912,41.77024,140.82375,2011
仙台,新千歳,664.0,85.0,325101.0,521642.0,1123.0,cv_00826,38.138416,140.91295,42.783703,141.68295,2011
新千歳,仙台,664.0,85.0,323312.0,518971.0,829.0,cv_00827,42.783703,141.68295,38.138416,140.91295,2011
仙台,広島,1002.0,6.0,19077.0,25410.0,0.0,cv_00828,38.138416,140.91295,34.437153,132.91936,2011
広島,仙台,1002.0,6.0,19954.0,25410.0,0.0,cv_00829,34.437153,132.91936,38.138416,140.91295,2011
仙台,那覇,2010.0,6.0,65482.0,97735.0,942.0,cv_00830,38.138416,140.91295,26.199286,127.64285,2011
那覇,仙台,2010.0,7.0,67310.0,98124.0,513.0,cv_00831,26.199286,127.64285,38.138416,140.91295,2011
福島,新千歳,720.0,14.0,44428.0,91728.0,34.0,cv_00832,37.227985,140.43062,42.783703,141.68295,2011
新千歳,福島,720.0,14.0,45425.0,91728.0,26.0,cv_00833,42.783703,141.68295,37.227985,140.43062,2011
大島,調布,104.0,19.0,11094.0,17392.0,0.0,cv_00834,34.782726,139.36238,35.671425,139.52916,2011
調布,大島,104.0,19.0,8656.0,17457.0,17.0,cv_00835,35.671425,139.52916,34.782726,139.36238,2011
大島,利島,30.0,6.0,1320.0,3015.0,0.0,cv_00836,34.782726,139.36238,34.5307,139.27344,2011
利島,大島,30.0,6.0,1585.0,3015.0,0.0,cv_00837,34.5307,139.27344,34.782726,139.36238,2011
三宅島,大島,80.0,6.0,2349.0,3150.0,0.0,cv_00838,34.072113,139.55931,34.782726,139.36238,2011
大島,三宅島,80.0,6.0,1215.0,3132.0,0.0,cv_00839,34.782726,139.36238,34.072113,139.55931,2011
三宅島,御蔵島,21.0,6.0,1621.0,3168.0,0.0,cv_00840,34.072113,139.55931,33.897964,139.59514,2011
御蔵島,三宅島,21.0,6.0,2073.0,3159.0,0.0,cv_00841,33.897964,139.59514,34.072113,139.55931,2011
八丈島,青ヶ島,74.0,6.0,2410.0,3186.0,0.0,cv_00842,33.114906,139.78447,32.4679,139.76033,2011
青ヶ島,八丈島,74.0,6.0,2357.0,3186.0,0.0,cv_00843,32.4679,139.76033,33.114906,139.78447,2011
八丈島,御蔵島,85.0,6.0,1343.0,3105.0,0.0,cv_00844,33.114906,139.78447,33.897964,139.59514,2011
御蔵島,八丈島,85.0,6.0,1540.0,3123.0,0.0,cv_00845,33.897964,139.59514,33.114906,139.78447,2011
調布,神津島,172.0,17.0,7833.0,15992.0,0.0,cv_00846,35.671425,139.52916,34.18997,139.13185,2011
神津島,調布,172.0,17.0,10010.0,16001.0,0.0,cv_00847,34.18997,139.13185,35.671425,139.52916,2011
新島,調布,147.0,26.0,15158.0,23582.0,3.0,cv_00848,34.36959,139.268,35.671425,139.52916,2011
